t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
56.995,warmup,2833,2833,0,12,2829,1667420,1.575,1051128,1490280,1,0,50.00,2833,0
57.996,warmup,2883,2883,0,12,2879,1697022,1.575,1051128,1490280,1,0,49.95,2883,0
59.004,warmup,2933,2934,0,1,2929,1727282,1.575,1051128,1490280,1,0,50.00,2934,0
60.005,warmup,2983,2984,0,1,2979,1757111,1.575,1051132,1490280,1,0,50.00,2984,0
60.996,warmup,3033,3033,0,14,3029,1786807,1.575,1051132,1490280,1,0,50.00,3033,0
62.003,warmup,3083,3084,0,0,3079,1815988,1.575,1051132,1490280,1,0,50.00,3084,0
63.003,warmup,3133,3134,0,0,3128,1845541,1.575,1051188,1490284,1,0,49.95,3134,0
64.002,warmup,3183,3184,0,0,3178,1875621,1.575,1051188,1490284,1,0,50.10,3184,0
64.996,warmup,3233,3233,0,11,3228,1905813,1.575,1051212,1490304,1,0,49.95,3233,0
65.995,warmup,3283,3283,0,12,3276,1935255,1.575,1051336,1490304,1,0,49.80,3283,0
66.998,warmup,3333,3333,0,15,3326,1965149,1.575,1051336,1490304,1,0,50.20,3333,0
67.997,warmup,3383,3383,0,14,3376,1995324,1.575,1051336,1490304,1,0,50.00,3383,0
68.996,warmup,3433,3433,0,13,3426,2024670,1.575,1051356,1490328,1,0,50.00,3433,0
69.995,warmup,3483,3483,0,12,3476,2054312,1.575,1051356,1490328,1,0,50.00,3483,0
71.004,warmup,3533,3534,0,0,3526,2084579,1.575,1051356,1490328,1,0,50.05,3534,0
71.995,warmup,3583,3583,0,12,3576,2114340,1.575,1051356,1490328,1,0,50.00,3583,0
72.998,warmup,3633,3633,0,14,3626,2144221,1.575,1051356,1490328,1,0,49.95,3633,0
73.997,warmup,3683,3683,0,13,3676,2174383,1.575,1051356,1490328,1,0,49.95,3683,0
