t_s,phase,frame_number,interval_ms
4.648,warmup,226,15.577
4.670,warmup,227,21.379
4.690,warmup,228,20.799
4.710,warmup,229,19.450
4.731,warmup,230,20.796
4.751,warmup,231,20.639
4.770,warmup,232,18.395
4.789,warmup,233,19.159
4.809,warmup,234,20.436
4.828,warmup,235,19.093
4.850,warmup,236,21.419
4.867,warmup,237,17.516
4.890,warmup,238,22.342
4.912,warmup,239,22.927
4.929,warmup,240,16.129
4.949,warmup,241,20.883
4.970,warmup,242,20.943
4.990,warmup,243,19.084
5.009,warmup,244,19.813
5.030,warmup,245,20.911
5.049,warmup,246,19.128
5.069,warmup,247,20.014
5.090,warmup,248,21.103
5.109,warmup,249,18.834
5.129,warmup,250,20.159
5.147,warmup,251,17.909
5.169,warmup,252,22.022
5.193,warmup,253,23.287
5.207,warmup,254,14.597
5.230,warmup,255,22.525
5.251,warmup,256,21.068
5.270,warmup,257,18.732
5.289,warmup,258,18.918
5.310,warmup,259,21.950
5.328,warmup,260,17.771
5.350,warmup,261,21.898
5.371,warmup,262,20.573
5.388,warmup,263,17.052
5.411,warmup,264,22.944
5.430,warmup,265,18.960
5.450,warmup,266,20.148
5.474,warmup,267,23.892
5.490,warmup,268,15.926
5.510,warmup,269,20.262
5.530,warmup,270,20.502
5.550,warmup,271,19.422
5.570,warmup,272,19.674
5.590,warmup,273,20.737
5.610,warmup,274,19.635
5.630,warmup,275,20.596
5.650,warmup,276,19.233
5.670,warmup,277,20.030
5.691,warmup,278,20.995
5.709,warmup,279,18.043
5.730,warmup,280,20.789
5.753,warmup,281,23.258
5.769,warmup,282,15.713
5.789,warmup,283,20.160
5.810,warmup,284,21.578
5.828,warmup,285,17.792
5.851,warmup,286,22.539
5.871,warmup,287,20.125
5.890,warmup,288,19.184
5.910,warmup,289,20.480
5.931,warmup,290,20.224
5.949,warmup,291,18.223
5.968,warmup,292,19.295
5.987,warmup,293,19.107
6.009,warmup,294,21.765
6.032,warmup,295,23.140
6.048,warmup,296,15.665
6.070,warmup,297,22.022
6.090,warmup,298,20.331
6.110,warmup,299,19.525
6.129,warmup,300,19.203
6.150,warmup,301,21.054
6.170,warmup,302,19.993
6.190,warmup,303,19.721
6.210,warmup,304,20.766
6.230,warmup,305,19.187
6.250,warmup,306,20.743
6.269,warmup,307,18.201
6.289,warmup,308,20.921
6.312,warmup,309,22.747
6.328,warmup,310,16.035
6.350,warmup,311,21.831
6.370,warmup,312,20.279
6.390,warmup,313,19.305
6.409,warmup,314,19.351
6.431,warmup,315,21.590
6.451,warmup,316,20.238
6.469,warmup,317,17.978
6.490,warmup,318,20.867
6.511,warmup,319,21.255
6.530,warmup,320,19.137
6.549,warmup,321,18.985
6.570,warmup,322,20.507
6.594,warmup,323,24.172
6.609,warmup,324,15.344
6.630,warmup,325,20.675
6.651,warmup,326,21.097
6.669,warmup,327,18.592
6.689,warmup,328,19.346
6.711,warmup,329,21.773
6.729,warmup,330,18.383
6.750,warmup,331,20.764
6.770,warmup,332,20.757
6.790,warmup,333,19.201
6.810,warmup,334,19.889
6.828,warmup,335,18.650
6.850,warmup,336,21.579
6.873,warmup,337,22.816
6.889,warmup,338,16.273
6.909,warmup,339,19.832
6.931,warmup,340,22.474
6.950,warmup,341,18.997
6.970,warmup,342,19.814
