t_s,phase,frame_number,interval_ms
4.710,warmup,229,20.142
4.729,warmup,230,18.998
4.750,warmup,231,20.961
4.773,warmup,232,23.032
4.790,warmup,233,17.435
4.810,warmup,234,20.250
4.830,warmup,235,20.119
4.851,warmup,236,20.786
4.870,warmup,237,19.142
4.892,warmup,238,21.766
4.910,warmup,239,18.043
4.931,warmup,240,21.229
4.949,warmup,241,18.066
4.970,warmup,242,20.642
4.990,warmup,243,20.230
5.009,warmup,244,18.514
5.030,warmup,245,21.587
5.052,warmup,246,21.418
5.069,warmup,247,16.838
5.090,warmup,248,21.628
5.110,warmup,249,19.862
5.130,warmup,250,19.717
5.149,warmup,251,19.450
5.170,warmup,252,20.644
5.190,warmup,253,20.066
5.209,warmup,254,19.465
5.230,warmup,255,20.176
5.249,warmup,256,19.658
5.269,warmup,257,20.135
5.290,warmup,258,20.394
5.309,warmup,259,19.629
5.332,warmup,260,23.009
5.349,warmup,261,16.912
5.370,warmup,262,20.278
5.391,warmup,263,21.603
5.409,warmup,264,18.183
5.430,warmup,265,20.406
5.450,warmup,266,20.278
5.470,warmup,267,19.438
5.489,warmup,268,19.809
5.510,warmup,269,20.722
5.530,warmup,270,20.312
5.549,warmup,271,18.724
5.568,warmup,272,19.352
5.589,warmup,273,20.589
5.613,warmup,274,24.038
5.628,warmup,275,15.047
5.649,warmup,276,20.996
5.671,warmup,277,22.079
5.689,warmup,278,17.932
5.708,warmup,279,19.074
5.729,warmup,280,21.173
5.749,warmup,281,19.752
5.769,warmup,282,19.990
5.791,warmup,283,21.631
5.810,warmup,284,19.216
5.831,warmup,285,20.820
5.850,warmup,286,19.002
5.869,warmup,287,19.368
5.893,warmup,288,24.066
5.908,warmup,289,15.194
5.930,warmup,290,21.127
5.951,warmup,291,20.983
5.968,warmup,292,17.953
5.989,warmup,293,20.048
6.010,warmup,294,21.801
6.030,warmup,295,19.429
6.048,warmup,296,18.612
6.070,warmup,297,21.947
6.090,warmup,298,19.322
6.109,warmup,299,19.275
6.128,warmup,300,19.196
6.149,warmup,301,20.743
6.172,warmup,302,23.438
6.189,warmup,303,17.039
6.209,warmup,304,19.691
6.230,warmup,305,21.028
6.249,warmup,306,19.013
6.269,warmup,307,20.155
6.290,warmup,308,20.382
6.309,warmup,309,19.477
6.330,warmup,310,20.415
6.351,warmup,311,21.963
6.370,warmup,312,18.095
6.389,warmup,313,19.717
6.409,warmup,314,20.069
6.429,warmup,315,20.053
6.452,warmup,316,22.997
6.469,warmup,317,17.029
6.488,warmup,318,18.682
6.510,warmup,319,22.003
6.529,warmup,320,18.629
6.550,warmup,321,20.784
6.570,warmup,322,20.645
6.589,warmup,323,18.873
6.610,warmup,324,21.114
6.630,warmup,325,19.711
6.650,warmup,326,20.353
6.669,warmup,327,18.795
6.690,warmup,328,21.185
6.709,warmup,329,19.053
6.733,warmup,330,23.333
6.749,warmup,331,16.578
6.769,warmup,332,19.915
6.790,warmup,333,20.808
6.810,warmup,334,19.819
6.829,warmup,335,19.134
6.850,warmup,336,21.178
6.870,warmup,337,19.703
6.890,warmup,338,20.057
6.910,warmup,339,19.894
6.930,warmup,340,20.758
6.950,warmup,341,19.201
6.968,warmup,342,18.638
6.989,warmup,343,21.116
7.014,warmup,344,24.621
7.031,warmup,345,16.660
7.048,warmup,346,17.512
7.070,warmup,347,21.955
7.089,warmup,348,18.448
7.108,warmup,349,19.787
7.130,warmup,350,22.012
7.149,warmup,351,18.838
7.169,warmup,352,19.797
7.190,warmup,353,21.256
7.209,warmup,354,18.389
7.231,warmup,355,22.427
7.250,warmup,356,18.507
7.270,warmup,357,20.085
7.293,warmup,358,23.488
7.310,warmup,359,16.626
7.330,warmup,360,19.909
7.350,warmup,361,20.139
7.370,warmup,362,19.949
7.388,warmup,363,18.691
7.411,warmup,364,22.233
7.430,warmup,365,19.154
7.450,warmup,366,19.659
7.470,warmup,367,20.040
7.490,warmup,368,20.784
7.508,warmup,369,17.878
7.528,warmup,370,20.043
7.551,warmup,371,22.973
7.572,warmup,372,20.539
7.590,warmup,373,18.161
